X,Y,OBJECTID,CRSH_ID,DATE_VAL_Y,DATE_VAL_M,DATE_VAL_1,DATE_VAL_D,DAY_OF_WEE,DAY_OF_W_1,MILT_TIME,CASE_NUM,CRSH_TYPE_,CRASH_TYPE,CRSH_LEVL,PRIMARY_CA,PRIMARY__1,SECONDARY_,SECONDARY1,LATITUDE,LONGITUDE,StreetID
1462516.86273101,539618.676481009,6253,1270759,2024,9,September,16,2,Monday,1714,20240916171403,1,Ran off road right,2,32,Other*,0, ,35.219322,-80.799739,
1467978.49960601,553643.873981014,6254,1260165,2024,6,June,9,1,Sunday,2200,20240609220001,15,Pedalcyclist,1,34,Unknown,0, ,35.258123,-80.782298,
1428908.586481,543174.131481007,6255,1123326,2021,10,October,25,2,Monday,1410,20211025141003,23,"Left turn, same roadway",1,6,Exceeded authorized speed limit,0, ,35.227363,-80.912477,
1442451.76523101,536831.874606013,6256,2244267,2022,5,May,17,3,Tuesday,724,20220517072401,21,"Rear end, slow or stop",1,8,Failure to reduce speed,0, ,35.210648,-80.866735,
1419821.49148101,579124.078981012,6257,1274469,2024,10,October,15,3,Tuesday,1937,20241015193700,14,Pedestrian,2,0,No contributing circumstance indicated,0, ,35.325637,-80.945259,
1464166.292106,554893.771481007,6258,1239586,2023,12,December,21,5,Thursday,1125,20231221115802,21,"Rear end, slow or stop",2,8,Failure to reduce speed,0, ,35.261368,-80.795142,
1444477.383981,543899.290856004,6259,1016045,2020,4,April,27,2,Monday,1410,20200427141000,1,Ran off road right,2,6,Exceeded authorized speed limit,0, ,35.230168,-80.860398,
1438176.06523101,518990.305856004,6260,1255090,2024,4,April,26,6,Friday,1549,20240426154901,14,Pedestrian,2,35,"Driver distracted by electronic communication device (cell phone, texting, etc.",0, ,35.161412,-80.879916,
1412661.544606,566502.312106013,6261,1042572,2020,8,August,21,6,Friday,2112,20200821211201,14,Pedestrian,1,19,Failed to yield right of way,0, ,35.290576,-80.96842,
1451628.40835601,539889.448356003,6262,1275696,2024,10,October,24,5,Thursday,1439,20241024143905,14,Pedestrian,2,0,No contributing circumstance indicated,0, ,35.219518,-80.836207,
1437351.696481,547193.681481004,6263,1110422,2020,10,October,24,7,Saturday,1602,20201024160203,23,"Left turn, same roadway",1,6,Exceeded authorized speed limit,0, ,35.238849,-80.884465,
1430077.27335601,536893.185856014,6264,1108191,2021,7,July,4,1,Sunday,2338,20210704233803,14,Pedestrian,1,30,Alcohol use,0, ,35.21017,-80.90816,
1485707.47148101,531657.208356008,6265,1096251,2021,5,May,15,7,Saturday,17,20210515001701,1,Ran off road right,2,27,"Swerved or avoided due to wind, slippery surface, vehicle, object, non-motorist",0, ,35.19858,-80.72164,
1445115.606481,571900.903356001,6266,1277907,2024,11,November,10,1,Sunday,2340,20241110234001,14,Pedestrian,2,0,No contributing circumstance indicated,0, ,35.307126,-80.860018,
1430811.26835601,522086.092106014,6267,1233374,2023,11,November,3,6,Friday,636,20231103063600,24,"Left turn, different roadways",2,4,Disregarded traffic signals,0, ,35.169531,-80.904752,
1483119.36648101,527077.615231007,6268,1129282,2021,12,December,23,5,Thursday,1515,20211223151503,14,Pedestrian,2,0,No contributing circumstance indicated,0, ,35.185875,-80.730035,
1492963.24148101,573593.521481007,6269,1242556,2024,1,January,13,7,Saturday,2320,20240113232000,1,Ran off road right,1,6,Exceeded authorized speed limit,0, ,35.314133,-80.699759,
1475541.57773101,537211.199606001,6270,1267346,2024,8,August,15,5,Thursday,744,20240815074400,21,"Rear end, slow or stop",1,6,Exceeded authorized speed limit,0, ,35.213349,-80.755993,
1471690.61273101,531995.733356014,6271,1102459,2021,6,June,12,7,Saturday,329,20210612032900,21,"Rear end, slow or stop",2,0,No contributing circumstance indicated,0, ,35.198833,-80.768573,
1433881.61335601,537428.191481009,6272,1100156,2021,5,May,22,7,Saturday,259,20210522025903,2,Ran off road left,1,30,Alcohol use,0, ,35.21184,-80.89546,
1463719.102731,547670.15898101,6273,1259717,2024,6,June,10,2,Monday,2158,20240610215802,14,Pedestrian,1,0,No contributing circumstance indicated,0, ,35.241501,-80.796202,
1476920.48335601,555736.751481012,6274,1051716,2020,8,August,5,4,Wednesday,1811,20200805181100,2,Ran off road left,1,6,Exceeded authorized speed limit,0, ,35.26431,-80.752472,
1484455.86710601,533237.948356003,6275,1061633,2020,8,August,27,5,Thursday,2316,20200827231600,14,Pedestrian,1,6,Exceeded authorized speed limit,0, ,35.202863,-80.725921,
1454068.805231,538117.195231006,6276,1163039,2022,6,June,15,4,Wednesday,2051,20220615205103,30,Angle,2,26,"Operated vehicle in erratic, reckless, careless, negligent or aggressive manner",0, ,35.214773,-80.827928,
1434014.369606,509555.008981004,6277,1257957,2024,5,May,27,2,Monday,2017,20240527201701,14,Pedestrian,2,12,Improper lane change,0, ,35.135274,-80.893236,
1438666.78835601,556139.442106009,6278,1250083,2024,3,March,16,7,Saturday,339,20240316033904,14,Pedestrian,1,26,"Operated vehicle in erratic, reckless, careless, negligent or aggressive manner",0, ,35.263493,-80.880629,
1473040.807731,584791.395231009,6279,1132620,2022,2,February,3,5,Thursday,2250,20220203200301,14,Pedestrian,2,20,Inattention,0, ,35.34394,-80.7672,
1436764.24898101,541817.845231012,6280,1203845,2023,3,March,6,2,Monday,1236,20230306123601,23,"Left turn, same roadway",2,4,Disregarded traffic signals,0, ,35.22405,-80.88609,
1463196.56210601,580083.262106001,6281,1212799,2023,5,May,22,2,Monday,14,20230522001401,1,Ran off road right,2,14,Overcorrected/oversteered,0, ,35.33052,-80.79992,
1468603.805856,547955.272106007,6282,1114228,2021,4,April,24,7,Saturday,2106,20210424210601,14,Pedestrian,1,8,Failure to reduce speed,0, ,35.242526,-80.779862,
1425285.53210601,516240.361481011,6283,1237250,2023,12,December,5,3,Tuesday,914,20231205091400,14,Pedestrian,1,33,Unable to determine,0, ,35.153179,-80.92286,
1427640.95585601,536629.984606013,6284,1044698,2020,7,July,2,5,Thursday,1659,20200702165900,14,Pedestrian,2,20,Inattention,0, ,35.209318,-80.916298,
1493948.277731,538000.020231009,6285,1236977,2023,12,December,2,7,Saturday,2057,20231202205705,27,Head on,1,11,Crossed centerline/going wrong way,0, ,35.216395,-80.694421,
1453058.807106,574681.233981013,6286,1131431,2022,1,January,20,5,Thursday,2200,20220120220005,30,Angle,2,4,Disregarded traffic signals,0, ,35.31517,-80.83357,
1434015.946481,549154.066481009,6287,1212670,2023,5,May,20,7,Saturday,1722,20230520172203,23,"Left turn, same roadway",2,26,"Operated vehicle in erratic, reckless, careless, negligent or aggressive manner",0, ,35.24406,-80.89576,
1431920.087106,540781.126481012,6288,1130640,2022,1,January,9,1,Sunday,1249,20220109124901,1,Ran off road right,1,6,Exceeded authorized speed limit,0, ,35.220948,-80.902241,
1437378.54710601,559598.703981012,6289,1026345,2020,6,June,18,5,Thursday,704,20200618070401,21,"Rear end, slow or stop",2,20,Inattention,0, ,35.272929,-80.885164,
1465417.09585601,492871.208981007,6290,1226296,2023,9,September,3,1,Sunday,2057,20230903205702,23,"Left turn, same roadway",1,6,Exceeded authorized speed limit,0, ,35.091039,-80.787212,
1441981.74835601,492240.267106012,6291,1106174,2021,6,June,27,1,Sunday,718,20210627071800,30,Angle,2,19,Failed to yield right of way,0, ,35.088121,-80.865503,
1411105.43710601,573498.395856008,6292,1169386,2022,8,August,10,4,Wednesday,1545,20220810154501,27,Head on,1,11,Crossed centerline/going wrong way,0, ,35.30971,-80.9741,
1439116.167731,554707.280231014,6293,2244282,2024,10,October,9,4,Wednesday,1322,202401009132200,14,Pedestrian,1,0,No contributing circumstance indicated,0, ,35.259582,-80.879033,
1444396.525231,541848.160856009,6294,1278980,2024,11,November,18,2,Monday,1125,20241118112500,21,"Rear end, slow or stop",2,8,Failure to reduce speed,0, ,35.224529,-80.86054,
1438325.82648101,505707.091481,6295,1072553,2021,1,January,22,6,Friday,1329,20210122132900,23,"Left turn, same roadway",2,33,Unable to determine,0, ,35.124928,-80.878574,
1440978.98273101,534061.113981009,6296,1108384,2021,6,June,28,2,Monday,2051,20210628205101,24,"Left turn, different roadways",1,34,Unknown,0, ,35.20296,-80.87149,
1484073.58398101,513642.263981014,6297,1213406,2023,5,May,26,6,Friday,2138,20230526213800,14,Pedestrian,1,0,No contributing circumstance indicated,0, ,35.14901,-80.72606,
1446815.08335601,525788.084606007,6298,1251515,2024,4,April,4,5,Thursday,1421,20240404142102,27,Head on,2,11,Crossed centerline/going wrong way,0, ,35.180533,-80.85144,
1458165.400231,550197.647731006,6299,1182155,2022,11,November,14,2,Monday,631,20221114063101,14,Pedestrian,1,0,No contributing circumstance indicated,0, ,35.248167,-80.814954,
1476871.19273101,565673.491481006,6300,1116685,2021,8,August,20,6,Friday,2136,20210820213602,14,Pedestrian,2,0,No contributing circumstance indicated,0, ,35.291606,-80.753225,
1459169.22460601,568080.868356004,6301,1254423,2024,4,April,27,7,Saturday,2157,20240427215700,27,Head on,2,33,Unable to determine,0, ,35.297346,-80.812686,
1465566.14398101,550701.350856006,6302,1238103,2023,12,December,10,1,Sunday,1724,20231210172405,30,Angle,2,2,Disregarded stop sign,0, ,35.24992,-80.7902,
1484082.838356,575423.897731006,6303,1112705,2021,7,July,26,2,Monday,226,20210726022600,14,Pedestrian,1,0,No contributing circumstance indicated,0, ,35.31874,-80.72963,
1469104.59835601,562467.195856005,6304,1071014,2020,12,December,1,3,Tuesday,1808,20201201180802,21,"Rear end, slow or stop",1,30,Alcohol use,0, ,35.282418,-80.779056,
1485591.482106,570731.103981003,6305,1084640,2021,3,March,23,3,Tuesday,1034,20210323103600,23,"Left turn, same roadway",2,4,Disregarded traffic signals,0, ,35.30592,-80.7243,
1438898.09710601,506870.544606,6306,2244263,2021,10,October,21,5,Thursday,834,20211021083401,23,"Left turn, same roadway",1,19,Failed to yield right of way,0, ,35.128154,-80.876734,
1449977.49085601,538427.970856011,6307,1062872,2020,9,September,27,1,Sunday,337,20200927033700,1,Ran off road right,1,6,Exceeded authorized speed limit,0, ,35.215419,-80.841643,
1467402.43835601,562005.980231002,6308,1077019,2021,1,January,1,6,Friday,23,20200101002302,21,"Rear end, slow or stop",1,7,Exceeded safe speed for conditions,0, ,35.281067,-80.784731,
1503430.97210601,547341.778356001,6309,1117544,2021,8,August,28,7,Saturday,2220,20210828222001,24,"Left turn, different roadways",1,4,Disregarded traffic signals,0, ,35.2425,-80.6632,
1461181.617731,560162.671481013,6310,1082213,2021,3,March,11,5,Thursday,2102,20210311210203,14,Pedestrian,2,6,Exceeded authorized speed limit,0, ,35.275694,-80.80546,
1434002.04960601,530340.443356007,6311,1238013,2023,12,December,9,7,Saturday,2331,20231209233103,14,Pedestrian,2,20,Inattention,0, ,35.192375,-80.894604,
1471214.95960601,550330.646481007,6312,1124480,2021,11,November,4,5,Thursday,1755,20211104175502,14,Pedestrian,1,33,Unable to determine,0, ,35.24918,-80.77126,
1449648.16335601,572060.930856004,6313,1029000,2020,6,June,13,7,Saturday,2250,20200613225001,14,Pedestrian,1,20,Inattention,0, ,35.307798,-80.844838,
1502856.48273101,535662.772731006,6314,1009306,2020,3,March,5,5,Thursday,2155,20200305215801,14,Pedestrian,1,0, ,0, ,35.210388,-80.664468,
1468062.40773101,553627.807106003,6315,1123467,2021,10,October,26,3,Tuesday,1914,20211026191405,28,"Sideswipe, same direction",2,35,"Driver distracted by electronic communication device (cell phone, texting, etc.",0, ,35.258083,-80.782016,
1450073.81898101,541575.208356008,6316,1236071,2023,11,November,26,1,Sunday,2245,20231126224502,14,Pedestrian,2,33,Unable to determine,0, ,35.22407,-80.841516,
1421798.47085601,532277.650231004,6317,1075725,2021,2,February,7,1,Sunday,537,20210207053700,2,Ran off road left,2,7,Exceeded safe speed for conditions,0, ,35.19705,-80.93557,
1448851.31273101,543570.107731014,6318,1139320,2022,4,April,20,4,Wednesday,1115,20220420111503,30,Angle,2,33,Unable to determine,0, ,35.229488,-80.845733,
1468209.963356,539118.506481007,6319,1143674,2022,5,May,29,1,Sunday,2157,20220529215701,14,Pedestrian,1,8,Failure to reduce speed,0, ,35.21823,-80.78065,
1468242.480231,533003.412106007,6320,1041400,2020,8,August,27,5,Thursday,2003,20200827200303,2,Ran off road left,2,14,Overcorrected/oversteered,0, ,35.201432,-80.780174,
1462296.91335601,530174.227731004,6321,1112970,2021,7,July,29,5,Thursday,52,20210729005200,1,Ran off road right,2,6,Exceeded authorized speed limit,0, ,35.193365,-80.799902,
1455576.39460601,520794.542731002,6322,1194422,2022,12,December,15,5,Thursday,1124,20221215112401,30,Angle,2,7,Exceeded safe speed for conditions,0, ,35.16726,-80.821817,
1481736.65835601,553437.520856008,6323,1227711,2023,9,September,22,6,Friday,952,20230922095200,14,Pedestrian,2,26,"Operated vehicle in erratic, reckless, careless, negligent or aggressive manner",0, ,35.258226,-80.736205,
1491997.727106,573296.30023101,6324,1251659,2024,4,April,5,6,Friday,1250,20240405125000,23,"Left turn, same roadway",2,6,Exceeded authorized speed limit,0, ,35.313271,-80.702978,
1471968.947731,556447.035231009,6325,1205116,2023,3,March,19,1,Sunday,414,20230319041401,28,"Sideswipe, same direction",2,6,Exceeded authorized speed limit,0, ,35.26602,-80.7691,
1446587.150231,526770.056481004,6326,1257766,2024,5,May,25,7,Saturday,1710,20240525171001,14,Pedestrian,2,0,No contributing circumstance indicated,0, ,35.183219,-80.852264,
1473659.42585601,562890.420856014,6327,1252955,2024,4,April,17,4,Wednesday,322,20240417032400,23,"Left turn, same roadway",2,34,Unknown,0, ,35.283804,-80.763821,
1411605.14148101,520287.718356013,6328,1260194,2024,6,June,12,4,Wednesday,1828,20240612182803,15,Pedalcyclist,1,19,Failed to yield right of way,0, ,35.163561,-80.968888,
1481423.619606,527596.796481013,6329,1142014,2022,5,May,15,1,Sunday,800,20220515080002,24,"Left turn, different roadways",2,4,Disregarded traffic signals,0, ,35.18722,-80.73574,
1456932.232106,524435.560856014,6330,1076614,2021,2,February,12,6,Friday,2120,20210212212001,30,Angle,2,8,Failure to reduce speed,0, ,35.177331,-80.817504,
1445867.59585601,562715.887731001,6331,1117966,2021,9,September,1,4,Wednesday,2255,20210901225502,21,"Rear end, slow or stop",1,33,Unable to determine,0, ,35.281932,-80.856922,
1474080.78210601,509012.220856011,6332,1043693,2020,7,July,12,1,Sunday,2354,20200712235404,1,Ran off road right,1,6,Exceeded authorized speed limit,0, ,35.135808,-80.75921,
1489865.76460601,551918.340231001,6333,1137403,2022,3,March,27,1,Sunday,254,20220327025400,2,Ran off road left,2,6,Exceeded authorized speed limit,0, ,35.25444,-80.70889,
1448811.97523101,549532.203356013,6334,1034644,2020,2,February,29,7,Saturday,1,20200229000102,28,"Sideswipe, same direction",2,33,Unable to determine,0, ,35.245865,-80.846236,
1467823.79585601,553657.936481014,6335,1032639,2020,5,May,26,3,Tuesday,1118,20200526111900,14,Pedestrian,1,0, ,0, ,35.258154,-80.782817,
1472830.82648101,560556.95648101,6336,1115495,2021,8,August,11,4,Wednesday,2357,20210805235700,14,Pedestrian,1,8,Failure to reduce speed,0, ,35.277353,-80.766458,
1431264.54835601,550484.06585601,6337,1109760,2021,7,July,14,4,Wednesday,1306,20210714130603,24,"Left turn, different roadways",2,9,Improper turn,0, ,35.247569,-80.905059,
1468213.79835601,539165.758356005,6338,1218855,2023,7,July,11,3,Tuesday,2136,20230711213602,30,Angle,2,33,Unable to determine,0, ,35.21836,-80.78064,
1437549.368356,538960.020231009,6339,1088174,2021,4,April,4,1,Sunday,328,20210404032800,1,Ran off road right,2,0, ,0, ,35.21624,-80.88328,
1437610.12898101,541926.275856003,6340,1263720,2024,7,July,17,4,Wednesday,1329,20240717132900,21,"Rear end, slow or stop",2,31,Drug use,0, ,35.224392,-80.883265,
1441169.039606,535426.201481014,6341,1202594,2023,2,February,21,3,Tuesday,2207,20230221220701,1,Ran off road right,1,20,Inattention,0, ,35.20672,-80.87094,
1468161.855231,538168.594606012,6342,1033937,2020,7,July,22,4,Wednesday,543,20200722054300,23,"Left turn, same roadway",2,1,Disregarded yield sign,0, ,35.215618,-80.780754,
1439774.60835601,545061.637731001,6343,1080236,2021,1,January,17,1,Sunday,1612,20210117161205,15,Pedalcyclist,1,0,No contributing circumstance indicated,0, ,35.233118,-80.876217,
1421663.59710601,515227.090231001,6344,1244037,2024,1,January,31,4,Wednesday,1738,20240131173801,24,"Left turn, different roadways",2,31,Drug use,0, ,35.150202,-80.934909,
1473521.84835601,536806.921481013,6345,1131082,2022,1,January,15,7,Saturday,1915,20220115191800,28,"Sideswipe, same direction",2,33,Unable to determine,0, ,35.21214,-80.76273,
1462749.481481,552744.490231007,6346,1124509,2021,11,November,5,6,Friday,306,20211105030601,1,Ran off road right,1,26,"Operated vehicle in erratic, reckless, careless, negligent or aggressive manner",0, ,35.255393,-80.799757,
1408730.78398101,510467.382731006,6347,1121169,2021,10,October,5,3,Tuesday,1213,20211005121300,23,"Left turn, same roadway",2,13,Use of improper lane,0, ,35.136426,-80.977849,
1480626.78335601,533353.186481014,6348,1221981,2023,8,August,6,1,Sunday,224,20230806022406,23,"Left turn, same roadway",1,19,Failed to yield right of way,0, ,35.202996,-80.738744,
1464531.290231,558371.443356007,6349,1212269,2023,5,May,17,4,Wednesday,2038,20230517203803,14,Pedestrian,2,33,Unable to determine,0, ,35.27094,-80.79413,
1424089.33585601,549510.948356003,6350,999366,2020,1,January,19,1,Sunday,2116,20200119211600,30,Angle,2,30,Alcohol use,0, ,35.244515,-80.929024,
1442919.138356,537459.010856003,6351,1126784,2021,11,November,27,7,Saturday,552,20211127055200,28,"Sideswipe, same direction",2,33,Unable to determine,0, ,35.212395,-80.86521,
1465691.919606,551168.649606004,6352,1270820,2024,9,September,17,3,Tuesday,1800,20240917180000,14,Pedestrian,2,0,No contributing circumstance indicated,0, ,35.25121,-80.789807,
1450243.84398101,509834.477731004,6353,1006871,2020,3,March,5,5,Thursday,2027,20200305202700,28,"Sideswipe, same direction",2,0,No contributing circumstance indicated,0, ,35.13688,-80.838978,
1457710.07710601,544978.115231007,6354,1268999,2024,8,August,24,7,Saturday,1500,20240824150001,30,Angle,1,6,Exceeded authorized speed limit,0, ,35.233805,-80.816159,
1461993.08273101,570126.490856007,6355,1135805,2022,3,March,9,4,Wednesday,1851,20220309185101,24,"Left turn, different roadways",1,19,Failed to yield right of way,0, ,35.303107,-80.803348,
1459321.20148101,540484.154606014,6356,1196891,2023,1,January,5,5,Thursday,1712,20230105171201,15,Pedalcyclist,1,19,Failed to yield right of way,0, ,35.22154,-80.81049,
1402280.559606,505244.888356,6357,1252465,2024,4,April,13,7,Saturday,218,20240413021800,1,Ran off road right,2,7,Exceeded safe speed for conditions,0,None (no unusual conditions),35.121724,-80.999068,
1491992.00273101,535734.835231006,6358,1165935,2022,7,July,8,6,Friday,159,20220708015900,14,Pedestrian,1,6,Exceeded authorized speed limit,0, ,35.21008,-80.70084,
1471030.97085601,555311.691481009,6359,1273305,2024,10,October,6,1,Sunday,1627,20241006162702,15,Pedalcyclist,2,20,Inattention,0, ,35.262855,-80.772174,
1446553.16210601,556593.508356005,6360,1102457,2021,6,June,11,6,Friday,2222,20210611222202,14,Pedestrian,2,0, ,0, ,35.265148,-80.854242,
1480306.275856,580225.677731007,6361,1077948,2021,2,February,19,6,Friday,2037,20210219203704,23,"Left turn, same roadway",2,19,Failed to yield right of way,0, ,35.33175,-80.742571,
1484160.20398101,540438.259606004,6362,1228209,2023,9,September,25,2,Monday,1955,20230925195500,23,"Left turn, same roadway",2,33,Unable to determine,0, ,35.22263,-80.72733,
1432985.92835601,514478.542106003,6363,1126318,2021,11,November,22,2,Monday,541,20211122054101,23,"Left turn, same roadway",2,19,Failed to yield right of way,0, ,35.148746,-80.89699,
1463215.20773101,560650.286481008,6364,1247599,2024,3,March,3,1,Sunday,312,20240303031200,27,Head on,2,34,Unknown,0, ,35.277135,-80.798677,
1436339.65773101,548154.974606007,6365,1277865,2024,10,October,30,4,Wednesday,813,20241030081301,23,"Left turn, same roadway",1,6,Exceeded authorized speed limit,0, ,35.241437,-80.887915,
1473717.74085601,528621.801481009,6366,1080235,2021,1,January,9,7,Saturday,27,20210109002700,14,Pedestrian,1,0,No contributing circumstance indicated,0, ,35.189663,-80.761588,
1475905.074606,533709.637731001,6367,1129006,2021,12,December,20,2,Monday,1908,20211220190803,21,"Rear end, slow or stop",2,20,Inattention,0, ,35.203747,-80.754569,
1490059.92523101,584504.204606012,6368,1110674,2021,7,July,18,1,Sunday,1940,20210718194002,2,Ran off road left,1,33,Unable to determine,0, ,35.34397,-80.71012,
1471312.13898101,529537.101481006,6369,1220995,2023,7,July,26,4,Wednesday,1814,20230726181400,23,"Left turn, same roadway",2,9,Improper turn,0, ,35.19206,-80.769693,
1484546.30085601,536738.043356001,6370,1094353,2021,5,May,3,2,Monday,214,20210503021400,2,Ran off road left,1,6,Exceeded authorized speed limit,0, ,35.212483,-80.725822,
1423194.12773101,549468.660856009,6371,1130843,2022,1,January,11,3,Tuesday,2058,20220111205303,30,Angle,1,6,Exceeded authorized speed limit,0, ,35.244351,-80.932019,
1433773.27960601,511400.024606004,6372,1221628,2023,8,August,3,5,Thursday,1507,20230803150700,1,Ran off road right,2,0,No contributing circumstance indicated,0, ,35.14033,-80.89416,
1467780.30398101,553613.58085601,6373,1109955,2021,6,June,7,2,Monday,159,20210607015902,1,Ran off road right,1,6,Exceeded authorized speed limit,0, ,35.25803,-80.78296,
1456572.667731,541632.256481007,6374,1101151,2021,5,May,26,4,Wednesday,300,20210526030205,14,Pedestrian,1,0,No contributing circumstance indicated,0,None (no unusual conditions),35.224556,-80.819762,
1439563.49960601,537891.727106005,6375,1263995,2024,7,July,20,7,Saturday,232,20240720023201,19,Fixed object,2,26,"Operated vehicle in erratic, reckless, careless, negligent or aggressive manner",0, ,35.21341,-80.87647,
1444263.17085601,587668.197106004,6376,1264932,2024,7,July,22,2,Monday,2045,20240722204500,23,"Left turn, same roadway",1,34,Unknown,0, ,35.350397,-80.863867,
1442781.09710601,538697.413356006,6377,1138695,2022,4,April,10,1,Sunday,2051,20220410205104,24,"Left turn, different roadways",2,4,Disregarded traffic signals,0, ,35.21579,-80.86575,
1430818.48335601,522119.442106009,6378,1139781,2022,4,April,25,2,Monday,2050,20220425205002,27,Head on,2,20,Inattention,0, ,35.169623,-80.90473,
1432894.37648101,549969.056481004,6379,1177438,2022,10,October,13,5,Thursday,1718,20221013171800,14,Pedestrian,2,33,Unable to determine,0, ,35.24624,-80.899568,
1471119.11085601,576824.376481012,6380,1275818,2024,10,October,24,5,Thursday,4,20241021000403,21,"Rear end, slow or stop",1,6,Exceeded authorized speed limit,0, ,35.321959,-80.773166,
1437650.732106,556906.028981,6381,1127461,2021,12,December,5,1,Sunday,1801,20211205180101,14,Pedestrian,2,33,Unable to determine,0, ,35.265546,-80.884081,
1447495.96710601,490265.81523101,6382,1213555,2023,5,May,28,1,Sunday,243,20230528024300,1,Ran off road right,1,7,Exceeded safe speed for conditions,0, ,35.08298,-80.84695,
1452011.19398101,573387.975231007,6383,1267537,2024,8,August,18,1,Sunday,908,20240818090803,30,Angle,1,19,Failed to yield right of way,0, ,35.311564,-80.837001,
1483123.24960601,527094.655231014,6384,1287929,2022,12,December,14,4,Wednesday,1513,20221214151304,30,Angle,2,4,Disregarded traffic signals,0, ,35.185922,-80.730023,
1438254.22648101,539110.458981007,6385,1122398,2021,10,October,16,7,Saturday,1615,20211016153800,21,"Rear end, slow or stop",2,0,No contributing circumstance indicated,0, ,35.21669,-80.88093,
1475741.570856,565352.392106012,6386,1044301,2020,3,March,25,4,Wednesday,2056,20200325205601,30,Angle,1,4,Disregarded traffic signals,0, ,35.290669,-80.756991,
1474427.71898101,563749.663981006,6387,1249154,2024,3,March,9,7,Saturday,241,20240309024101,23,"Left turn, same roadway",1,4,Disregarded traffic signals,0, ,35.286202,-80.761298,
1437414.67335601,538930.178981006,6388,1068610,2020,9,September,5,7,Saturday,1649,20200905164902,28,"Sideswipe, same direction",1,11,Crossed centerline/going wrong way,0, ,35.216151,-80.883729,
1442649.28085601,475433.086481005,6389,1205796,2023,3,March,17,6,Friday,2120,20230317212005,31,Backing up,2,21,Improper backing,0, ,35.041982,-80.862218,
1492059.07773101,545818.979606003,6390,1269241,2024,7,July,19,6,Friday,2314,20240719231401,30,Angle,2,0,No contributing circumstance indicated,0, ,35.237787,-80.701194,
1445593.040856,571136.26898101,6391,1126688,2021,11,November,25,5,Thursday,2158,20211125215803,14,Pedestrian,1,6,Exceeded authorized speed limit,0, ,35.30505,-80.85837,
1473071.338356,558924.845231012,6392,1047951,2020,9,September,19,7,Saturday,1804,20200919180402,2,Ran off road left,1,6,Exceeded authorized speed limit,0, ,35.272881,-80.765555,
1490993.964606,582227.650856003,6393,1126531,2021,11,November,23,3,Tuesday,2113,20211123211300,28,"Sideswipe, same direction",1,30,Alcohol use,0, ,35.33776,-80.706857,
1472933.58023101,536988.455231011,6394,1231490,2023,10,October,14,7,Saturday,2143,20231014214303,14,Pedestrian,1,34,Unknown,0, ,35.21261,-80.76471,
1430508.180231,503533.355231002,6395,1280605,2024,12,December,1,1,Sunday,19,20241201004700,27,Head on,2,11,Crossed centerline/going wrong way,0, ,35.118547,-80.904575,
1445600.293981,537665.010856003,6396,1030781,2020,5,May,4,2,Monday,1112,20200504111200,23,"Left turn, same roadway",1,19,Failed to yield right of way,0, ,35.213099,-80.856248,
1458644.59273101,558233.453981012,6397,1228683,2023,9,September,28,5,Thursday,1938,20230928193802,24,"Left turn, different roadways",1,4,Disregarded traffic signals,0, ,35.270267,-80.813841,
1467874.840856,536907.015856013,6398,1117619,2021,8,August,29,1,Sunday,1855,20210829185503,14,Pedestrian,2,0,No contributing circumstance indicated,0, ,35.212138,-80.781639,
1464583.55335601,548657.36210601,6399,1003088,2020,2,February,8,7,Saturday,2108,20200208210800,15,Pedalcyclist,1,0, ,0, ,35.244256,-80.793367,
1480834.994606,533129.684606001,6400,1247886,2024,3,March,5,3,Tuesday,1822,20240305182205,3,Ran off road straight ahead,2,33,Unable to determine,0, ,35.202392,-80.738034,
1403469.371481,504573.754606009,6401,1065465,2020,10,October,9,6,Friday,608,20201009060800,2,Ran off road left,1,6,Exceeded authorized speed limit,0, ,35.119946,-80.995048,
1422759.03773101,559200.719606012,6402,1019412,2020,5,May,9,7,Saturday,253,20200509025301,14,Pedestrian,2,0, ,0, ,35.271063,-80.934111,
1418000.949606,500897.762731001,6403,1124177,2021,11,November,2,3,Tuesday,736,20211102073700,20,Parked motor vehicle,2,28,Visibility obstructed,0, ,35.11064,-80.94622,
1471922.42273101,556466.428356007,6404,1276350,2024,10,October,30,4,Wednesday,2048,20241030204807,30,Angle,2,2,Disregarded stop sign,0, ,35.266071,-80.769257,
1431036.417731,528555.309606001,6405,1036037,2020,7,July,21,3,Tuesday,1615,20200721153600,24,"Left turn, different roadways",2,4,Disregarded traffic signals,0, ,35.187315,-80.904414,
1435951.67960601,524629.860856012,6406,2244280,2024,7,July,26,6,Friday,946,20240726094602,14,Pedestrian,1,0, ,0, ,35.176789,-80.887716,
1463956.74085601,581950.332731009,6407,1280500,2024,12,December,2,2,Monday,1750,20241202175300,14,Pedestrian,2,34,Unknown,0, ,35.335687,-80.797485,
1410885.82710601,573378.632731006,6408,1050898,2020,9,September,5,7,Saturday,1740,20200905174002,23,"Left turn, same roadway",1,26,"Operated vehicle in erratic, reckless, careless, negligent or aggressive manner",0, ,35.309369,-80.974828,
1445419.355856,586852.953356013,6409,1276706,2024,11,November,1,6,Friday,1645,20241101164701,3,Ran off road straight ahead,2,33,Unable to determine,0, ,35.348217,-80.859939,
